Ticker,Name,MarketCap,PE,PB,DivYield,ROE,LastUpdated,CurrentPrice,ForwardPE,PS,EVEBITDA,ROA,OperatingMargin,DebtToEquity,Sector,Value_Score,Quality_Score,Yield_Score,Total_Score
2222.SR,Saudi Arabian Oil Co.,6555690860544.0,18.819445,4.3936443,500.0,20.764999,2026-04-27T09:11:35.430356+00:00,27.1,16.227545,3.9227352,8.321,18.552,42.664,21.119,Energy,-0.5846377190531629,6.006803761972103,0.6579230005418732,6.080089043460814
3030.SR,Saudi Cement Co.,5226480128.0,14.352941,2.3544006,969.0,16.307,2026-04-26T09:43:15.487966+00:00,34.16,12.988592,3.1273777,8.839,8.0819994,25.283,10.361,Basic Materials,0.6700109212188906,2.3846469725422237,2.3199083344832805,5.374566228244395
4321.SR,Arabian Centres Co.,8430833152.0,6.6479397,0.5434616,855.0000000000001,8.3979994,2026-04-26T11:29:44.261906+00:00,17.75,7.395833,3.6918278,18.946,2.251,52.72,127.078,Real Estate,1.9150956480562407,1.1120375191359118,1.9159289569367555,4.943062124128908
2060.SR,National Industrialization Co.,6635627008.0,16.697325,0.8418909,0.0,-13.604,2026-04-26T08:16:33.147068+00:00,9.92,10.020202,2.666279,-440.537,-1.143,-17.256,59.892,Basic Materials,8.078453806250531,-2.6520552539496425,-1.1139163746621856,4.312482177638703
1050.SR,Banque Saudi Fransi,49511997440.0,10.152284,1.15895,520.0,10.947999999999999,2026-04-26T12:34:30.901559+00:00,20.0,5.4054055,5.1855154,10.454,1.778,59.526999999999994,47.7295,Financial Services,1.8096828488685661,1.3865994376526534,0.7287965755500356,3.925078862071255
1020.SR,Bank Aljazira,14976966656.0,11.74,0.99677366,852.9999999999999,7.683,2026-04-26T07:51:28.891204+00:00,11.74,9.544715,3.6435077,10.454,0.9560000000000001,43.733,47.7295,,1.453369654277235,0.561964535753154,1.9088415994359385,3.9241757894663274
3080.SR,Eastern Province Cement Co.,1964240000.0,9.71915,0.83905804,524.0,8.737001,2026-04-26T08:12:09.073528+00:00,22.84,9.477179,1.5564686,5.673,5.106,15.158,15.939,,2.102922740772183,0.9579966320957621,0.7429712905516681,3.8038906634196135
4002.SR,Mouwasat Medical Services Co.,13860000768.0,16.861315,3.668608,596.0,22.322,2026-04-27T09:11:35.429582+00:00,69.3,15.785878,4.300902,12.967,9.645,28.244000000000003,25.239,Healthcare,-0.46492831123418593,3.1125589501794524,0.9981161605810526,3.645746799526319
3060.SR,Yanbu Cement Co.,2269574912.0,21.833332,0.90333503,869.9999999999999,4.082,2026-04-26T09:43:15.516421+00:00,14.41,10.076923,2.0937731,7.88,2.5510002,14.091000000000001,6.215,Basic Materials,1.4904787454219146,0.049397006386967146,1.9690841381928765,3.5089598900017585
1080.SR,Arab National Bank,43848650752.0,8.595331,1.059066,589.0,11.59,2026-04-26T08:56:13.067940+00:00,22.09,9.36017,4.7711005,10.454,1.928,50.367,47.7295,Financial Services,1.3018808526598948,1.1774329493959934,0.9733104093281958,3.452624211384084
3010.SR,Arabian Cement Co.,2227000064.0,14.094936,0.86394846,672.0,6.026,2026-04-26T08:12:09.028148+00:00,22.27,13.177515,2.096594,6.735,3.7350000000000003,26.575001999999998,0.921,,1.2103959758110336,0.8361369322680131,1.2674357456120695,3.3139686536911164
2020.SR,SABIC Agri-Nutrients Co.,65502474240.0,15.154186,3.0892193,496.0,21.365000000000002,2026-04-26T08:16:33.181986+00:00,137.6,17.963448,5.00903,11.354,9.6269995,26.983,0.965,Basic Materials,-0.8075160318896831,3.0687346690092467,0.6437482855402408,2.9049669226598045
4260.SR,United International Transporta,4443044352.0,12.801205,1.5055972,266.0,11.9540006,2026-04-27T09:11:35.399632+00:00,42.5,8.15739,1.8368074,6.773,4.9640004,11.932000500000001,57.785,Industrials,2.024867301696092,0.8797654829925827,-0.17129782705362626,2.7333349576350487
7010.SR,Saudi Telecom Co.,212764983296.0,14.308724,2.550697,516.0,16.983,2026-04-26T07:50:33.102662+00:00,42.64,14.961404,2.734112,9.988,5.6799997,19.548,22.515,,0.3729630994005788,1.542630053520365,0.7146218605484032,2.630215013469347
1150.SR,Alinma Bank,71958757376.0,12.253807,2.0158663,413.0,14.265998999999999,2026-04-26T09:43:15.524338+00:00,24.14,10.228814,6.635043,10.454,2.1760002,66.713995,47.7295,Financial Services,0.43262397886567705,1.8353047408302836,0.34962294925636705,2.6175516689523275
2050.SR,Savola Group,7957412352.0,9.07483,1.4381199,628.0,15.755999000000001,2026-04-23T10:46:50.503490,,13.177515,3.1273777,10.454,2.251,19.548,47.7295,,0.9466430935825502,0.49546597162249173,1.1115138805941123,2.5536229457991544
1180.SR,The Saudi National Bank,235342069760.0,9.846153,1.2678126,578.0,0.0,2026-04-26T07:51:28.961826+00:00,39.68,10.961327,6.064357,10.454,0.0,72.612,47.7295,,0.6575680230105103,0.8791313667237813,0.9343299430737064,2.4710293328079977
4031.SR,Saudi Ground Services Co.,5824240128.0,14.752381,2.2700958,646.0,15.935999,2026-04-26T11:29:44.258405+00:00,30.98,15.969071,2.1336496,11.18,4.808,5.525,6.64,Industrials,0.3670144602526483,0.8599639757787712,1.1753000981014585,2.402278534132878
4003.SR,United Electronics Co.,6305591808.0,13.123994,3.6794584,613.0,27.950000000000003,2026-04-23T11:40:35.826008,81.5,13.177515,3.1273777,10.454,2.251,19.548,47.7295,,0.3850091267865863,0.9393760139653793,1.0583586993379905,2.3827438400899563
1030.SR,Saudi Investment Bank,16737585152.0,7.9761906,0.97624946,587.0,11.162999999999998,2026-04-23T11:40:35.834977,13.4,13.177515,3.1273777,10.454,2.251,19.548,47.7295,,1.069854000051782,0.32826257541391,0.9662230518273796,2.3643396272930715
3020.SR,Yamama Cement Co.,4839750144.0,10.042016,0.9738408,419.00000000000006,9.841999999999999,2026-04-26T07:51:28.910041+00:00,23.9,12.131979,3.400575,10.454,3.5389999999999997,25.869999999999997,36.972,,1.1254421640124228,0.8482228906713918,0.37088502175881594,2.3445500764426304
